Dataset,Country,Hours,Mean (MW),Std (MW),Min (MW),Max (MW)
Train,AT,40320,7120.89833829365,1399.694605183457,664.0,10803.0
Train,BE,40320,9942.043154761905,1377.6862944997672,6566.0,13670.0
Train,BG,40320,4343.723139880953,862.1943252414819,1803.0,7690.0
Val,AT,5040,7396.914682539683,1403.7064849443684,4385.0,10779.0
Val,BE,5040,9845.09623015873,1327.590137727044,6491.0,13117.0
Val,BG,5040,4453.650793650793,824.8104091446139,2847.0,6566.0
Test,AT,5041,6337.3072803015275,1140.1384217882755,4004.0,9604.0
Test,BE,5041,8702.552866494743,1051.7206297151672,6245.0,11820.0
Test,BG,5041,3763.4435627851617,616.5825657248796,2432.0,5869.0
